Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,35.419998,35.900002,34.889999,35.279999,29.362656,2982100
2016-01-05,35.279999,35.549999,34.630001,35.400002,29.462530,2919900
2016-01-06,34.900002,34.900002,34.029999,34.099998,28.380569,4452300
2016-01-07,33.509998,33.669998,33.000000,33.299999,27.714748,3850000
2016-01-08,33.970001,33.990002,33.119999,33.250000,27.673138,3168000
2016-01-11,33.200001,33.299999,31.770000,31.920000,26.566216,3593200
2016-01-12,32.220001,32.419998,31.400000,32.419998,26.982347,3125200
2016-01-13,32.750000,32.759998,31.209999,31.330000,26.075171,3108400
2016-01-14,31.420000,32.480000,31.020000,32.389999,26.957378,3788500
2016-01-15,30.830000,32.060001,30.719999,31.219999,25.983620,3470000
2016-01-18,30.770000,30.850000,29.350000,29.770000,24.776823,3205000
2016-01-19,30.200001,30.780001,28.670000,29.090000,24.210873,6247000
2016-01-20,28.520000,28.900000,27.320000,28.430000,23.661575,7656800
2016-01-21,28.370001,30.160000,28.219999,29.760000,24.768497,5339900
2016-01-22,30.770000,31.540001,30.750000,31.330000,26.075171,7272700
2016-01-25,30.930000,31.190001,29.820000,29.940001,24.918308,4141100
2016-01-26,30.180000,31.230000,30.129999,31.000000,25.800516,4565500
2016-01-27,30.559999,31.840000,30.559999,31.410000,26.141756,4849100
2016-01-28,32.500000,32.939999,31.930000,32.830002,27.323584,4369900
2016-01-29,33.029999,33.180000,32.230000,33.180000,27.614880,5280900
2016-02-01,32.509998,32.509998,31.510000,31.830000,26.491308,3171000
2016-02-02,31.209999,31.240000,30.340000,31.180000,25.950331,3606400
2016-02-03,31.750000,31.780001,30.600000,31.549999,26.258270,3554900
2016-02-04,31.010000,32.770000,31.000000,31.820000,26.482985,4812000
2016-02-05,31.910000,32.060001,31.280001,31.879999,26.532917,2886700
2016-02-08,31.500000,31.950001,30.860001,31.370001,26.108459,3187200
2016-02-09,30.870001,30.870001,29.629999,29.950001,24.926630,4993600
2016-02-10,29.950001,30.340000,29.430000,29.540001,24.585400,4120100
2016-02-11,28.879999,29.580000,28.400000,29.430000,24.493849,5584200
2016-02-12,30.500000,31.090000,29.900000,30.570000,25.442636,4478100
2016-02-16,31.290001,31.350000,30.219999,31.010000,25.808840,4171600
2016-02-17,31.290001,33.060001,31.020000,32.889999,27.373516,5282000
